experiment_id,timestamp,description,trades,wr_pct,pf,pnl,avg_r,max_dd,config_json
10bar_ch_6.5x,2026-07-16T17:13:23.576961+00:00,10-bar + Chandelier 6.5x,17329,44.1,0.971,-3349.15,-0.0082,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.5}"
10bar_volscale_fixed2r,2026-07-16T17:14:28.295390+00:00,10-bar + vol scaling + fixed 2R,16637,42.9,1.058,-584.12,0.0192,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R"", ""vol_scale"": true}"
10bar_volscale_ch6x,2026-07-16T17:15:24.206167+00:00,10-bar + vol scaling + Chandelier 6.0x,14371,44.1,1.037,-2510.13,0.0119,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0, ""vol_scale"": true}"
baseline_20r,2026-07-16T17:16:31.481839+00:00,20-bar Donchian + fixed 2R (current D4),15445,44.0,0.987,-2630.11,-0.0038,0.0000,"{""lookback"": 20, ""exit"": ""FIXED_2R""}"
baseline_10r,2026-07-16T17:16:38.271513+00:00,10-bar Donchian + fixed 2R,19918,43.8,1.001,-503.41,0.0002,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R""}"
10bar_ch_5.0x,2026-07-16T17:16:45.694312+00:00,10-bar + Chandelier 5.0x,18639,44.1,0.973,-2678.15,-0.0074,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.0}"
10bar_ch_5.5x,2026-07-16T17:16:53.154137+00:00,10-bar + Chandelier 5.5x,18393,44.1,0.975,-2440.40,-0.0070,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 5.5}"
10bar_ch_6.0x,2026-07-16T17:17:00.649354+00:00,10-bar + Chandelier 6.0x,18229,44.4,0.987,-2050.42,-0.0034,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0}"
10bar_ch_6.5x,2026-07-16T17:17:08.310228+00:00,10-bar + Chandelier 6.5x,17329,44.1,0.971,-3349.15,-0.0082,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.5}"
10bar_volscale_fixed2r,2026-07-16T17:18:10.164842+00:00,10-bar + vol scaling + fixed 2R,16637,42.9,1.058,-584.12,0.0192,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R"", ""vol_scale"": true}"
10bar_volscale_ch6x,2026-07-16T17:19:05.425398+00:00,10-bar + vol scaling + Chandelier 6.0x,14371,44.1,1.037,-2510.13,0.0119,0.0000,"{""lookback"": 10, ""exit"": ""CHANDELIER"", ""mult"": 6.0, ""vol_scale"": true}"
10bar_partial_1.5x,2026-07-16T17:19:12.636558+00:00,10-bar + 50%@1R + trail 1.5x,20289,45.6,0.883,-8674.17,-0.0353,0.0000,"{""lookback"": 10, ""exit"": ""PARTIAL_1R"", ""trail_mult"": 1.5}"
10bar_partial_2.0x,2026-07-16T17:19:19.789251+00:00,10-bar + 50%@1R + trail 2.0x,19843,45.4,0.882,-8636.74,-0.0349,0.0000,"{""lookback"": 10, ""exit"": ""PARTIAL_1R"", ""trail_mult"": 2.0}"
10bar_partial_2.5x,2026-07-16T17:19:26.967487+00:00,10-bar + 50%@1R + trail 2.5x,19450,45.4,0.889,-7789.13,-0.0322,0.0000,"{""lookback"": 10, ""exit"": ""PARTIAL_1R"", ""trail_mult"": 2.5}"
10bar_partial_3.0x,2026-07-16T17:19:34.187256+00:00,10-bar + 50%@1R + trail 3.0x,19094,45.4,0.902,-6312.86,-0.0279,0.0000,"{""lookback"": 10, ""exit"": ""PARTIAL_1R"", ""trail_mult"": 3.0}"
baseline_20r,2026-07-16T17:20:26.705813+00:00,20-bar Donchian + fixed 2R (current D4),15445,44.0,0.987,-2630.11,-0.0038,0.0000,"{""lookback"": 20, ""exit"": ""FIXED_2R""}"
baseline_10r,2026-07-16T17:20:33.435584+00:00,10-bar Donchian + fixed 2R,19918,43.8,1.001,-503.41,0.0002,0.0000,"{""lookback"": 10, ""exit"": ""FIXED_2R""}"
