window,start,end,trades_adx,wr_adx,pf_adx,pnl_adx,avg_r_adx,trades_base,wr_base,pf_base,pnl_base,avg_r_base
47,2019-10-07,2019-10-31,52,30.8,0.873,-111.98,-0.0891,75,33.3,0.983,-15.25,-0.0118
48,2019-10-31,2019-11-26,51,39.2,1.265,208.80,0.1635,62,38.7,1.240,250.96,0.1486
49,2019-11-26,2019-12-20,52,26.9,0.719,-255.60,-0.2090,56,28.6,0.781,-203.64,-0.1590
50,2019-12-20,2020-01-17,73,49.3,1.905,829.68,0.4651,82,51.2,2.057,1079.17,0.5224
51,2020-01-17,2020-02-12,48,33.3,0.982,-6.25,-0.0119,65,29.2,0.811,-197.17,-0.1356
52,2020-02-12,2020-03-09,48,43.8,1.540,356.82,0.3056,66,42.4,1.456,407.61,0.2648
53,2020-03-09,2020-04-02,52,34.6,1.053,37.11,0.0350,47,38.3,1.236,112.08,0.1458
54,2020-04-02,2020-04-29,47,31.9,0.931,-12.46,-0.0474,53,32.1,0.938,-17.97,-0.0425
55,2020-04-29,2020-05-24,42,26.2,0.703,-215.75,-0.2210,47,31.9,0.929,-56.38,-0.0489
56,2020-05-24,2020-06-17,41,29.3,0.819,-118.00,-0.1287,56,30.4,0.863,-94.89,-0.0964
57,2020-06-17,2020-07-13,39,38.5,1.236,133.50,0.1462,55,38.2,1.220,165.11,0.1371
58,2020-07-13,2020-08-06,55,47.3,1.777,483.41,0.4120,72,40.3,1.337,330.02,0.2023
59,2020-08-06,2020-09-01,55,41.8,1.429,231.97,0.2508,64,42.2,1.451,279.74,0.2617
60,2020-09-01,2020-09-25,51,31.4,0.906,-100.52,-0.0646,58,34.5,1.044,63.17,0.0290
61,2020-09-25,2020-10-21,49,42.9,1.485,301.70,0.2788,60,43.3,1.514,395.21,0.2931
62,2020-10-21,2020-11-16,58,31.0,0.891,-83.29,-0.0755,71,35.2,1.076,93.40,0.0497
63,2020-11-16,2020-12-10,55,38.2,1.223,156.02,0.1387,69,34.8,1.055,32.79,0.0363
64,2020-12-10,2021-01-07,55,43.6,1.533,385.58,0.3023,74,37.8,1.205,203.12,0.1284
65,2021-01-07,2021-02-02,46,39.1,1.275,167.78,0.1682,48,39.6,1.299,189.40,0.1817
66,2021-02-02,2021-02-26,47,40.4,1.343,196.80,0.2059,67,38.8,1.255,231.53,0.1570
67,2021-02-26,2021-03-23,45,46.7,1.734,403.16,0.3938,62,48.4,1.857,589.58,0.4452
68,2021-03-23,2021-04-19,42,42.9,1.481,260.84,0.2773,61,37.7,1.195,166.14,0.1223
69,2021-04-19,2021-05-13,47,23.4,0.603,-317.62,-0.3064,61,29.5,0.826,-176.93,-0.1237
70,2021-05-13,2021-06-08,60,26.7,0.718,-276.52,-0.2085,66,28.8,0.799,-210.67,-0.1446
71,2021-06-08,2021-07-02,49,34.7,1.051,4.38,0.0333,68,30.9,0.883,-156.24,-0.0815
72,2021-07-02,2021-07-28,44,25.0,0.658,-268.44,-0.2583,55,23.6,0.611,-378.17,-0.2993
73,2021-07-28,2021-08-23,51,33.3,0.987,-4.83,-0.0087,51,39.2,1.273,214.38,0.1675
74,2021-08-23,2021-09-16,56,32.1,0.932,-50.76,-0.0466,59,33.9,1.009,25.99,0.0059
75,2021-09-16,2021-10-11,59,42.4,1.452,346.98,0.2625,67,47.8,1.805,671.15,0.4240
76,2021-10-11,2021-11-04,55,40.0,1.315,230.21,0.1907,71,38.0,1.211,207.79,0.1317
77,2021-11-04,2021-11-30,50,40.0,1.318,231.66,0.1921,54,40.7,1.359,285.12,0.2142
78,2021-11-30,2021-12-27,47,29.8,0.836,-136.69,-0.1163,60,31.7,0.912,-83.78,-0.0605
79,2021-12-27,2022-01-20,46,39.1,1.266,179.38,0.1636,61,37.7,1.191,167.28,0.1200
80,2022-01-20,2022-02-15,37,37.8,1.201,115.71,0.1263,43,41.9,1.422,256.40,0.2474
81,2022-02-15,2022-03-11,57,43.9,1.551,359.68,0.3107,68,39.7,1.307,206.67,0.1859
82,2022-03-11,2022-04-06,56,25.0,0.661,-294.59,-0.2559,66,34.8,1.060,73.82,0.0393
83,2022-04-06,2022-05-02,50,32.0,0.932,-33.59,-0.0464,64,34.4,1.037,38.04,0.0247
84,2022-05-02,2022-05-26,52,32.7,0.962,-21.19,-0.0260,61,39.3,1.284,244.75,0.1734
85,2022-05-26,2022-06-21,47,34.0,1.020,11.36,0.0133,62,30.6,0.873,-114.10,-0.0887
86,2022-06-21,2022-07-15,39,43.6,1.529,259.86,0.3007,44,43.2,1.504,271.28,0.2883
87,2022-07-15,2022-08-10,66,28.8,0.798,-233.06,-0.1449,71,35.2,1.073,59.26,0.0476
88,2022-08-10,2022-09-05,53,26.4,0.708,-250.37,-0.2164,61,42.6,1.465,388.91,0.2692
89,2022-09-05,2022-09-29,68,38.2,1.223,237.16,0.1387,75,44.0,1.552,555.98,0.3114
90,2022-09-29,2022-10-25,49,42.9,1.485,292.31,0.2789,52,40.4,1.341,194.87,0.2049
91,2022-10-25,2022-11-17,51,45.1,1.625,416.86,0.3456,65,38.5,1.236,200.19,0.1461
92,2022-11-17,2022-12-14,63,36.5,1.134,122.40,0.0861,77,37.7,1.192,194.03,0.1207
93,2022-12-14,2023-01-10,46,32.6,0.957,-48.06,-0.0294,55,32.7,0.962,-52.54,-0.0256
94,2023-01-10,2023-02-03,63,38.1,1.216,164.13,0.1350,63,42.9,1.482,396.34,0.2779
95,2023-02-03,2023-03-01,46,21.7,0.549,-374.99,-0.3563,63,22.2,0.564,-492.66,-0.3418
96,2023-03-01,2023-03-27,59,42.4,1.456,385.47,0.2646,69,44.9,1.614,557.25,0.3406
97,2023-03-27,2023-04-21,61,42.6,1.470,355.95,0.2715,76,40.8,1.362,377.00,0.2161
98,2023-04-21,2023-05-16,60,28.3,0.782,-179.78,-0.1574,67,34.3,1.035,70.89,0.0228
99,2023-05-16,2023-06-09,49,34.7,1.049,35.00,0.0325,59,40.7,1.353,290.91,0.2114
100,2023-06-09,2023-07-05,58,36.2,1.119,96.72,0.0769,71,32.4,0.945,-45.08,-0.0377
101,2023-07-05,2023-07-31,42,23.8,0.616,-287.45,-0.2952,59,32.2,0.936,-71.87,-0.0438
102,2023-07-31,2023-08-24,42,35.7,1.094,63.36,0.0610,52,36.5,1.134,113.72,0.0859
103,2023-08-24,2023-09-19,46,26.1,0.691,-253.50,-0.2312,66,28.8,0.792,-230.70,-0.1501
104,2023-09-19,2023-10-13,57,43.9,1.538,422.97,0.3051,69,36.2,1.118,117.69,0.0762
105,2023-10-13,2023-11-08,61,45.9,1.677,506.93,0.3691,71,46.5,1.717,633.79,0.3864
106,2023-11-08,2023-12-04,55,41.8,1.419,306.41,0.2461,71,45.1,1.619,583.96,0.3430
107,2023-12-04,2023-12-28,43,39.5,1.292,139.67,0.1782,58,46.6,1.719,476.20,0.3880
108,2023-12-28,2024-01-24,48,45.8,1.672,404.95,0.3669,67,41.8,1.419,399.82,0.2456
109,2024-01-24,2024-02-19,49,26.5,0.713,-224.30,-0.2128,50,34.0,1.018,31.37,0.0118
110,2024-02-19,2024-03-14,55,32.7,0.958,-44.97,-0.0284,70,35.7,1.094,105.13,0.0611
111,2024-03-14,2024-04-10,57,38.6,1.246,180.77,0.1522,65,44.6,1.597,456.81,0.3327
112,2024-04-10,2024-05-06,59,37.3,1.181,183.11,0.1141,83,36.1,1.124,145.84,0.0797
113,2024-05-06,2024-05-30,57,35.1,1.071,72.84,0.0466,66,34.8,1.060,73.90,0.0393
114,2024-05-30,2024-06-25,45,37.8,1.204,57.80,0.1278,57,42.1,1.442,265.12,0.2573
115,2024-06-25,2024-07-19,55,32.7,0.963,-42.77,-0.0248,64,34.4,1.037,11.32,0.0247
116,2024-07-19,2024-08-13,63,36.5,1.141,114.81,0.0901,69,43.5,1.527,459.01,0.2992
117,2024-08-13,2024-09-06,61,36.1,1.118,120.09,0.0760,71,29.6,0.832,-183.84,-0.1187
118,2024-09-06,2024-10-02,51,31.4,0.907,-117.08,-0.0643,59,32.2,0.942,-68.55,-0.0394
119,2024-10-02,2024-10-28,62,27.4,0.749,-226.59,-0.1834,74,29.7,0.839,-189.59,-0.1140
120,2024-10-28,2024-11-21,51,43.1,1.506,317.22,0.2894,59,45.8,1.675,487.69,0.3681
121,2024-11-21,2024-12-17,49,34.7,1.055,27.29,0.0358,64,34.4,1.040,17.99,0.0264
122,2024-12-17,2025-01-14,56,35.7,1.101,123.95,0.0655,69,34.8,1.057,95.26,0.0371
123,2025-01-14,2025-02-07,60,38.3,1.233,203.05,0.1443,81,35.8,1.106,106.38,0.0682
124,2025-02-07,2025-03-04,54,31.5,0.913,-58.74,-0.0601,83,33.7,1.011,25.75,0.0073
125,2025-03-04,2025-03-28,44,31.8,0.926,-59.75,-0.0506,78,23.1,0.595,-552.19,-0.3130
126,2025-03-28,2025-04-24,56,42.9,1.494,221.80,0.2831,81,42.0,1.441,286.91,0.2566
127,2025-04-24,2025-05-20,68,39.7,1.312,181.34,0.1887,80,43.8,1.550,459.37,0.3100
128,2025-05-20,2025-06-13,65,44.6,1.603,448.99,0.3353,75,45.3,1.650,537.59,0.3567
129,2025-06-13,2025-07-09,44,36.4,1.137,108.23,0.0872,66,36.4,1.136,118.70,0.0871
130,2025-07-09,2025-08-04,57,38.6,1.249,196.94,0.1536,67,43.3,1.516,405.13,0.2941
131,2025-08-04,2025-08-27,36,36.1,1.122,81.61,0.0783,59,35.6,1.097,139.20,0.0628
132,2025-08-27,2025-09-22,50,48.0,1.836,487.87,0.4362,66,42.4,1.465,383.25,0.2687
133,2025-09-22,2025-10-16,55,36.4,1.138,16.56,0.0882,77,39.0,1.271,151.29,0.1661
134,2025-10-16,2025-11-11,63,33.3,0.997,-153.46,-0.0017,77,36.4,1.140,11.70,0.0892
135,2025-11-11,2025-12-05,55,23.6,0.617,-293.76,-0.2931,67,26.9,0.732,-214.04,-0.1963
136,2025-12-05,2026-01-02,53,35.8,1.114,139.33,0.0732,63,42.9,1.495,374.03,0.2835
137,2026-01-02,2026-01-28,51,45.1,1.638,356.32,0.3511,51,52.9,2.244,605.73,0.5864
138,2026-01-28,2026-02-23,60,30.0,0.856,35.74,-0.1010,81,38.3,1.238,610.66,0.1471
139,2026-02-23,2026-03-18,44,29.5,0.837,-246.45,-0.1149,53,37.7,1.210,76.64,0.1307
140,2026-03-18,2026-04-14,61,42.6,1.483,720.90,0.2777,73,41.1,1.393,676.91,0.2318
141,2026-04-14,2026-05-08,62,35.5,1.097,-47.56,0.0626,73,35.6,1.103,0.32,0.0666
142,2026-05-08,2026-06-03,49,51.0,2.077,472.46,0.5287,54,46.3,1.719,371.60,0.3870
143,2026-06-03,2026-06-29,46,39.1,1.283,230.45,0.1723,66,39.4,1.297,302.94,0.1801
